id,species
Bb-comp11335_c0,bb
Bb-comp11338_c0,bb
Bb-comp11361_c0,bb
Bb-comp113634_c0,bb
Bb-comp11366_c0,bb
Bb-comp11371_c0,bb
Bb-comp113830_c0,bb
Bb-comp113834_c0,bb
Bb-comp113943_c0,bb
Bb-comp113996_c0,bb
Bb-comp114047_c0,bb
Bb-comp114095_c0,bb
Bb-comp11410_c0,bb
Bb-comp11412_c0,bb
Bb-comp11413_c0,bb
Bb-comp114144_c0,bb
Bb-comp114155_c0,bb
Bb-comp114193_c0,bb
Bb-comp11429_c0,bb
Bb-comp11431_c0,bb
Bb-comp114360_c0,bb
Bb-comp114373_c0,bb
Bb-comp114376_c0,bb
Bb-comp11437_c0,bb
Bb-comp1143_c0,bb
Bb-comp114409_c0,bb
Bb-comp114410_c0,bb
Bb-comp114425_c0,bb
Bb-comp11445_c0,bb
Bb-comp114461_c0,bb
Bb-comp114470_c0,bb
Bb-comp114510_c0,bb
Bb-comp114571_c0,bb
Bb-comp114589_c0,bb
Bb-comp11462_c0,bb
Bb-comp114768_c0,bb
Bb-comp114778_c0,bb
Bb-comp11485_c0,bb
Bb-comp114880_c0,bb
Bb-comp114911_c0,bb
Bb-comp114955_c0,bb
Bb-comp115021_c0,bb
Bb-comp115031_c0,bb
Bb-comp115066_c0,bb
Bb-comp11511_c0,bb
Bb-comp115184_c0,bb
Bb-comp11518_c0,bb
Bb-comp11519_c0,bb
Bb-comp115227_c0,bb
Bb-comp115238_c0,bb
Bb-comp11526_c0,bb
Bb-comp115285_c0,bb
Bb-comp11532_c0,bb
Bb-comp115337_c0,bb
Bb-comp115371_c0,bb
Bb-comp115385_c0,bb
Bb-comp115423_c0,bb
Bb-comp11547_c0,bb
Bb-comp11549_c0,bb
Bb-comp115510_c0,bb
Bb-comp11554_c0,bb
Bb-comp11562_c0,bb
Bb-comp11563_c0,bb
Bb-comp115650_c0,bb
Bb-comp11572_c0,bb
Bb-comp115759_c0,bb
Bb-comp115767_c0,bb
Bb-comp115769_c0,bb
Bb-comp11576_c0,bb
Bb-comp115785_c0,bb
Bb-comp115836_c0,bb
Bb-comp115849_c0,bb
Bb-comp11586_c0,bb
Bb-comp115871_c0,bb
Bb-comp1158_c0,bb
Bb-comp115902_c0,bb
Bb-comp115958_c0,bb
Bb-comp115960_c0,bb
Bb-comp11596_c0,bb
Bb-comp115971_c0,bb
Bb-comp11597_c0,bb
Bb-comp116011_c0,bb
Bb-comp11605_c0,bb
Bb-comp116119_c0,bb
Bb-comp116133_c0,bb
Bb-comp11613_c0,bb
Bb-comp11617_c0,bb
Bb-comp11621_c0,bb
Bb-comp116245_c0,bb
Bb-comp116319_c0,bb
Bb-comp116444_c0,bb
Bb-comp116510_c0,bb
Bb-comp11663_c0,bb
Bb-comp11675_c0,bb
Bb-comp116855_c0,bb
Bb-comp116885_c0,bb
Bb-comp116911_c0,bb
Bb-comp116949_c0,bb
Bb-comp11694_c0,bb
Bb-comp116991_c0,bb
Bb-comp116994_c0,bb
Bb-comp117050_c0,bb
Bb-comp11710_c0,bb
Bb-comp117110_c0,bb
Bb-comp117124_c0,bb
Bb-comp117133_c0,bb
Bb-comp11713_c0,bb
Bb-comp117177_c0,bb
Bb-comp117180_c0,bb
Bb-comp11719_c0,bb
Bb-comp11720_c0,bb
Bb-comp117312_c0,bb
Bb-comp117324_c0,bb
Bb-comp11735_c0,bb
Bb-comp117381_c0,bb
Bb-comp117438_c0,bb
Bb-comp11747_c0,bb
Bb-comp11748_c0,bb
Bb-comp11751_c0,bb
Bb-comp11755_c1,bb
Bb-comp117579_c0,bb
Bb-comp117583_c0,bb
Bb-comp11764_c0,bb
Bb-comp117692_c0,bb
Bb-comp117815_c0,bb
Bb-comp117827_c0,bb
Bb-comp11783_c0,bb
Bb-comp117842_c0,bb
Bb-comp11787_c0,bb
Bb-comp118048_c0,bb
Bb-comp11805_c1,bb
Bb-comp11808_c0,bb
Bb-comp118153_c0,bb
Bb-comp118250_c0,bb
Bb-comp118268_c0,bb
Bb-comp11826_c0,bb
Bb-comp118285_c0,bb
Bb-comp118295_c0,bb
Bb-comp118480_c0,bb
Bb-comp11851_c0,bb
Bb-comp118550_c0,bb
Bb-comp11855_c0,bb
Bb-comp11868_c0,bb
Bb-comp11875_c0,bb
Bb-comp11887_c0,bb
Bb-comp118894_c0,bb
Bb-comp119022_c0,bb
Bb-comp119036_c0,bb
Bb-comp11904_c0,bb
Bb-comp119053_c0,bb
Bb-comp119104_c0,bb
Bb-comp11911_c0,bb
Bb-comp119182_c0,bb
Bb-comp1191_c0,bb
Bb-comp119208_c0,bb
Bb-comp119315_c0,bb
Bb-comp119337_c0,bb
Bb-comp11945_c0,bb
Bb-comp1194_c0,bb
Bb-comp11955_c0,bb
Bb-comp119566_c0,bb
Bb-comp119606_c0,bb
Bb-comp11963_c0,bb
Bb-comp11965_c0,bb
Bb-comp119933_c0,bb
Bb-comp11997_c0,bb
Bb-comp120005_c0,bb
Bb-comp12004_c0,bb
Bb-comp120055_c0,bb
Bb-comp120148_c0,bb
Bb-comp12014_c0,bb
Bb-comp120177_c0,bb
Bb-comp120185_c0,bb
Bb-comp12020_c0,bb
Bb-comp12022_c0,bb
Bb-comp12026_c0,bb
Bb-comp120341_c0,bb
Bb-comp120360_c0,bb
Bb-comp12039_c0,bb
Bb-comp120406_c0,bb
Bb-comp12047_c0,bb
Bb-comp12048_c0,bb
Bb-comp120527_c0,bb
Bb-comp120549_c0,bb
Bb-comp12054_c0,bb
Bb-comp12058_c0,bb
Bb-comp12088_c0,bb
Bb-comp1208_c0,bb
Bb-comp120986_c0,bb
Bb-comp120992_c0,bb
Bb-comp12099_c0,bb
Bb-comp12102_c0,bb
Bb-comp12106_c0,bb
Bb-comp121155_c0,bb
Bb-comp1211_c0,bb
Bb-comp12125_c0,bb
Bb-comp121263_c0,bb
Bb-comp121396_c0,bb
Bb-comp12144_c0,bb
Bb-comp121474_c0,bb
Bb-comp12148_c0,bb
Bb-comp121497_c0,bb
Bb-comp12150_c0,bb
Bb-comp121548_c0,bb
Bb-comp12160_c0,bb
Bb-comp12164_c0,bb
Bb-comp12165_c0,bb
Bb-comp12173_c0,bb
Bb-comp12190_c0,bb
Bb-comp12193_c0,bb
Bb-comp12194_c0,bb
Bb-comp122034_c0,bb
Bb-comp122086_c0,bb
Bb-comp12209_c0,bb
Bb-comp122128_c0,bb
Bb-comp122177_c0,bb
Bb-comp1221_c0,bb
Bb-comp12225_c0,bb
Bb-comp12235_c0,bb
Bb-comp122360_c0,bb
Bb-comp12241_c0,bb
Bb-comp122461_c0,bb
Bb-comp12250_c0,bb
Bb-comp12260_c0,bb
Bb-comp122696_c0,bb
Bb-comp12269_c0,bb
Bb-comp122726_c0,bb
Bb-comp122823_c0,bb
Bb-comp12284_c0,bb
Bb-comp122863_c0,bb
Bb-comp12286_c0,bb
Bb-comp12288_c0,bb
Bb-comp122954_c0,bb
Bb-comp123037_c0,bb
Bb-comp12311_c0,bb
Bb-comp12313_c0,bb
Bb-comp123246_c0,bb
Bb-comp123377_c0,bb
Bb-comp12356_c0,bb
Bb-comp12366_c0,bb
Bb-comp123750_c0,bb
Bb-comp12376_c0,bb
Bb-comp12396_c0,bb
Bb-comp12397_c0,bb
Bb-comp12398_c0,bb
Bb-comp12399_c0,bb
Bb-comp123_c1,bb
Bb-comp12414_c0,bb
Bb-comp12418_c0,bb
Bb-comp12419_c0,bb
Bb-comp124209_c0,bb
Bb-comp124291_c0,bb
Bb-comp12433_c0,bb
Bb-comp12458_c0,bb
Bb-comp12467_c0,bb
Bb-comp12473_c0,bb
Bb-comp12477_c0,bb
Bb-comp12481_c0,bb
Bb-comp124839_c0,bb
Bb-comp12483_c0,bb
Bb-comp124977_c0,bb
Bb-comp12505_c0,bb
Bb-comp125174_c0,bb
Bb-comp12522_c0,bb
Bb-comp12529_c0,bb
Bb-comp12542_c0,bb
Bb-comp12546_c0,bb
Bb-comp125554_c0,bb
Bb-comp125609_c0,bb
Bb-comp12560_c1,bb
Bb-comp12564_c0,bb
Bb-comp12568_c0,bb
Bb-comp12573_c0,bb
Bb-comp12582_c0,bb
Bb-comp12584_c0,bb
Bb-comp125870_c0,bb
Bb-comp1258_c0,bb
Bb-comp12593_c0,bb
Bb-comp12595_c0,bb
Bb-comp125978_c0,bb
Bb-comp12598_c0,bb
Bb-comp12599_c0,bb
Bb-comp12602_c0,bb
Bb-comp126052_c0,bb
Bb-comp126056_c0,bb
Bb-comp126060_c0,bb
Bb-comp126079_c0,bb
Bb-comp126090_c0,bb
Bb-comp1260_c0,bb
Bb-comp126119_c0,bb
Bb-comp126136_c0,bb
Bb-comp12614_c0,bb
Bb-comp12616_c0,bb
Bb-comp12622_c0,bb
Bb-comp126283_c0,bb
Bb-comp126387_c0,bb
Bb-comp126463_c0,bb
Bb-comp126473_c0,bb
Bb-comp12656_c0,bb
Bb-comp126574_c0,bb
Bb-comp126624_c0,bb
Bb-comp12671_c0,bb
Bb-comp126734_c0,bb
Bb-comp12675_c0,bb
Bb-comp12677_c0,bb
Bb-comp12679_c0,bb
Bb-comp126818_c0,bb
Bb-comp126836_c0,bb
Bb-comp126852_c0,bb
Bb-comp126858_c0,bb
Bb-comp12686_c0,bb
Bb-comp12689_c0,bb
Bb-comp126905_c0,bb
Bb-comp12693_c0,bb
Bb-comp12694_c0,bb
Bb-comp126953_c0,bb
Bb-comp12700_c0,bb
Bb-comp12714_c0,bb
Bb-comp127159_c0,bb
Bb-comp127161_c0,bb
Bb-comp127164_c0,bb
Bb-comp12720_c0,bb
Bb-comp127262_c0,bb
Bb-comp12727_c0,bb
Bb-comp127294_c0,bb
Bb-comp127316_c0,bb
Bb-comp12736_c0,bb
Bb-comp127458_c0,bb
